1,0,0.86616
2,33,0.8382
3,66,0.94844
4,100,1.0513
5,133,0.94767
6,166,0.89613
7,200,0.90031
8,233,0.92622
9,266,0.93582
10,300,0.94395
11,333,0.96781
12,367,0.97166
13,400,1.0215
14,433,1.0215
15,467,0.92606
16,500,1.3246
17,533,0.91955
18,567,0.84811
19,600,0.77632
20,634,0.9397
21,667,1.0579
22,700,0.99245
23,734,0.92919
24,767,0.90215
25,800,0.9034
26,834,0.91612
27,867,0.82417
28,900,0.81889
29,934,0.9259
30,967,1.0925
31,1001,1.2041
32,1034,1.0389
33,1067,0.83763
34,1101,0.6112
35,1134,0.58994
36,1167,0.78861
37,1201,1.0262
38,1234,0.58098
39,1268,0.98703
40,1301,0.94393
41,1334,1.0021
42,1368,1.0578
43,1401,0.74349
44,1434,0.60001
45,1468,0.66699
46,1501,2.2732
47,1534,1.7881
48,1568,2.0233
49,1601,0.62203
50,1635,1.7109
51,1668,8.3693
52,1701,4.7242
53,1735,1.729
54,1768,0.98893
55,1801,0.77493
