1,0,0.81803
2,33,0.61061
3,66,0.80594
4,100,1.2925
5,133,1.2661
6,166,1.1473
7,200,1.0253
8,233,0.94245
9,266,0.97505
10,300,1.0159
11,333,1.0651
12,367,1.0795
13,400,1.1138
14,433,1.1084
15,467,1.0756
16,500,0.99626
17,533,1.4335
18,567,1.0773
19,600,0.70776
20,634,0.83913
21,667,1.1764
22,700,1.196
23,734,0.93506
24,767,0.9779
25,800,1.0797
26,834,0.93969
27,867,0.86155
28,900,0.8131
29,934,0.88325
30,967,0.95463
31,1001,1.1146
32,1034,1.2427
33,1067,0.87549
34,1101,0.33429
35,1134,0.5498
36,1167,0.77896
37,1201,1.0194
38,1234,0.95485
39,1268,0.82047
40,1301,0.77919
41,1334,0.75535
42,1368,0.56056
43,1401,0.533
44,1434,0.43305
45,1468,1.5392
46,1501,1.2261
47,1534,1.7507
48,1568,0.50748
49,1601,1.1276
50,1635,2.0298
51,1668,1.894
52,1701,1.9616
53,1735,1.6124
54,1768,0.73295
55,1801,2.4903
56,1835,1.5967
57,1868,2.9831
58,1902,2.4236
59,1935,0.62655
60,1968,0.89578
61,2002,1.8989
62,2035,1.6338
63,2068,1.7316
64,2102,1.3807
65,2135,1.4581
66,2168,1.2204
67,2202,0.96495
68,2235,1.1793
69,2269,1.2606
70,2302,1.251
71,2335,1.1388
72,2369,1.0878
73,2402,1.0745
74,2435,1.1104
75,2469,1.1441
